sectionId,blockOrder,rowOrder,headers,cells
st-code,2,1,"المرجع,الموضوع,ملاحظة","ASTM C143,Slump Test,[DRAFT - REVIEW REQUIRED]"
st-code,2,2,"المرجع,الموضوع,ملاحظة","ACI,Concrete Workability,راجع مواصفات المشروع"
st-code,2,3,"المرجع,الموضوع,ملاحظة","Project Specs,Acceptance Limits,الأولوية لمواصفات المشروع"
tile-tables,1,1,"النوع,الخامة,مقاومة البلي,مقاومة الرطوبة,الاستخدام المناسب,السعر النسبي","سيراميك,طين مطفي مع طبقة زجاجية,متوسطة,جيدة,المنازل والمكاتب منخفضة الحركة,منخفض"
tile-tables,1,2,"النوع,الخامة,مقاومة البلي,مقاومة الرطوبة,الاستخدام المناسب,السعر النسبي","بورسلين,طين مطفي مع إضافات معدنية,عالية جداً,ممتازة,المطارات والمولات والمساحات التجارية,متوسط"
tile-tables,1,3,"النوع,الخامة,مقاومة البلي,مقاومة الرطوبة,الاستخدام المناسب,السعر النسبي","كرانيت,صخر طبيعي,عالية جداً,ممتازة,المطابخ والمداخل الفاخرة,مرتفع"
tile-tables,1,4,"النوع,الخامة,مقاومة البلي,مقاومة الرطوبة,الاستخدام المناسب,السعر النسبي","مرمر,صخر طبيعي كربوناتي,منخفضة,متوسطة,القاعات الفاخرة والفنادق,مرتفع جداً"
tile-tables,2,1,"النوع,الأبعاد الشائعة (سم),السمك (مم),الوزن التقريبي (كغ/م²)","سيراميك حوائط,20×25 / 25×40 / 30×60,6-8,12-16"
tile-tables,2,2,"النوع,الأبعاد الشائعة (سم),السمك (مم),الوزن التقريبي (كغ/م²)","سيراميك أرضيات,30×30 / 40×40 / 45×45,8-10,16-22"
tile-tables,2,3,"النوع,الأبعاد الشائعة (سم),السمك (مم),الوزن التقريبي (كغ/م²)","بورسلين,60×60 / 80×80 / 60×120,8-12,18-28"
tile-tables,2,4,"النوع,الأبعاد الشائعة (سم),السمك (مم),الوزن التقريبي (كغ/م²)","كرانيت,40×40 / 60×60,10-15,25-35"
tile-tables,2,5,"النوع,الأبعاد الشائعة (سم),السمك (مم),الوزن التقريبي (كغ/م²)","مرمر,40×40 / 60×60 / 80×80,15-20,35-50"
