sectionId,blockOrder,type,text_content,text_variant,step_number,step_description,step_image,step_note,point_criteria,point_method,point_critical,point_acceptableTolerance,point_tool,safety_message,safety_severity,safety_code,safety_action,code_code,code_title,code_section,code_excerpt,checklist_title,table_title,table_headers,equipment_title,image_url,image_caption
st-equipment,1,equipment,,,,,,,,,,,,,,,,,,,,,,,معدات اختبار الهبوط,,
st-execution,1,execution_step,,,1,ترطيب المخروط بالماء ووضعه على سطح مستو رطب غير ماص,,تثبيت المخروط بالقدم على اللوحين السفليين,,,,,,,,,,,,,,,,,,,
st-execution,2,execution_step,,,2,تعبئة المخروط بالخرسانة على ثلاث طبقات متساوية,,كل طبقة حوالي ثلث ارتفاع المخروط,,,,,,,,,,,,,,,,,,,
st-execution,3,execution_step,,,3,دمك كل طبقة 25 مرة باستخدام قضيب الدمك,,توزيع الضربات على كامل مساحة المقطع,,,,,,,,,,,,,,,,,,,
st-execution,4,execution_step,,,4,تسوية سطح الخرسانة باستخدام المسطرة,,الكشط على حافة المخروط,,,,,,,,,,,,,,,,,,,
st-execution,5,execution_step,,,5,رفع المخروط بحركة رأسية ثابتة في مدة 5 ± 2 ثوان,,لا توجد حركة جانبية أو لوية,,,,,,,,,,,,,,,,,,,
st-execution,6,execution_step,,,6,قياس الهبوط بوضع القضيب عبر قمة المخروط وقياس المسافة إلى أعلى نقطة في الخرسانة,,القياس بالملليمتر,,,,,,,,,,,,,,,,,,,
st-inspection,1,inspection_point,,,,,,,هبوط الخرسانة,المخروط القياسي ASTM C143,TRUE,75-100 مم للعناصر العادية,,,,,,,,,,,,,,,
st-inspection,2,inspection_point,,,,,,,زمن الاختبار,ساعة إيقاف,FALSE,يجب ألا يتجاوز دقيقتان من بدء العينة,ساعة إيقاف,,,,,,,,,,,,,,
st-safety,1,safety_note,,,,,,,,,,,,تأكد من نظافة موقع الاختبار وعدم وجود عوائق,low,OSHA 1926,إزالة العوائق حول منطقة الاختبار,,,,,,,,,,
st-safety,2,safety_note,,,,,,,,,,,,غسل اليدين جيداً بعد التعامل مع الخرسانة,medium,OSHA 1926,توفير مصدر ماء قريب,,,,,,,,,,
st-codes,1,code_reference,,,,,,,,,,,,,,,,ASTM C143,Standard Test Method for Slump of Hydraulic-Cement Concrete,4.2,الطريقة القياسية لاختبار هبوط الخرسانة الأسمنتية الهيدروليكية,,,,,,
st-codes,2,code_reference,,,,,,,,,,,,,,,,ACI 211.1,Standard Practice for Selecting Proportions for Normal Concrete,1.0,اختيار نسب الخلطات الخرسانية العادية,,,,,,
