sectionId,order,type,text_content,text_variant,step_number,step_description,step_image,step_notes,point_criteria,point_method,point_critical,point_tolerance,point_tool,safety_message,safety_severity,safety_code,safety_action,code_code,code_title,code_section,code_description,checklist_title,table_caption,table_headers,equipment_title,image_url,image_caption
st-equipment,1,equipment,,,,,,,,,,,,,,,,,,,,,,,معدات اختبار الهبوط,,
st-execution,1,text,يتم إجراء اختبار الهبوط وفق الخطوات التالية. يجب تنفيذ الاختبار خلال 30 دقيقة من أخذ العينة.,note,,,,,,,,,,,,,,,,,,,,,,,
st-execution,2,execution_step,,,1,ترطيب المخروط بالماء ووضعه على السطح المستوي,,تثبيت المخروط بالقدم على اللوحين السفليين,,,,,,,,,,,,,,,,,,,
st-execution,3,execution_step,,,2,ملء المخروط بثلاث طبقات متساوية، كل طبقة تدك 25 مرة بقضيب الدمك,,توزيع الضربات بالتساوي على مساحة المقطع,,,,,,,,,,,,,,,,,,,
st-execution,4,execution_step,,,3,تسوية سطح الخرسانة بقضيب الدمك وإزالة المخروط برفع رأسي بطيء وثابت,,مدة الرفع 3-5 ثوانٍ,,,,,,,,,,,,,,,,,,,
st-execution,5,execution_step,,,4,قياس الهبوط عند أدنى نقطة من قمة المخروط باستخدام المسطرة,,تسجيل القراءة لأقرب 5 مم,,,,,,,,,,,,,,,,,,,
st-inspection,1,inspection_point,,,,,,,[DRAFT - REVIEW REQUIRED] هبوط الخرسانة,المخروط القياسي ASTM C143,TRUE,[DRAFT - REVIEW REQUIRED] 75-100 مم,,,,,,,,,,,,,,,
st-inspection,2,inspection_point,,,,,,,[DRAFT - REVIEW REQUIRED] درجة حرارة الخرسانة,مقياس حرارة,TRUE,[DRAFT - REVIEW REQUIRED] 10-32 °C,,,,,,,,,,,,,,,
st-inspection,3,inspection_point,,,,,,,[DRAFT - REVIEW REQUIRED] زمن الاختبار,ساعة توقيت,FALSE,[DRAFT - REVIEW REQUIRED] خلال 30 دقيقة من الخلط,,,,,,,,,,,,,,,
st-codes,1,code_reference,,,,,,,,,,,,,,,,ASTM C143,Standard Test Method for Slump of Hydraulic-Cement Concrete,,[DRAFT - REVIEW REQUIRED] الطريقة القياسية لقياس هبوط الخرسانة الطازجة,,,,,,
st-codes,2,code_reference,,,,,,,,,,,,,,,,ACI 304R-00,"Guide for Measuring, Mixing, Transporting, and Placing Concrete",4.2,[DRAFT - REVIEW REQUIRED] إرشادات صب الخرسانة واختبار الهبوط,,,,,,
st-codes,3,code_reference,,,,,,,,,,,,,,,,BS 1881-102,Testing Concrete — Method for Determination of Slump,,[DRAFT - REVIEW REQUIRED] المواصفة البريطانية لاختبار الهبوط,,,,,,
cc-preparation,1,text,قبل البدء بعملية الصب، يجب التأكد من استكمال جميع التحضيرات التالية.,paragraph,,,,,,,,,,,,,,,,,,,,,,,
cc-preparation,2,checklist,,,,,,,,,,,,,,,,,,,,قائمة التحضير قبل الصب,,,,,
cc-execution,1,text,عملية صب الخرسانة تتطلب تنسيقاً دقيقاً بين محطة الخلط وفريق الصب لتجنب الفواصل الباردة (Cold Joints).,paragraph,,,,,,,,,,,,,,,,,,,,,,,
cc-execution,2,execution_step,,,1,صب الخرسانة على دفعات منتظمة,,ارتفاع الحرة لا يتجاوز 1.5 متر لتجنب انفصال الحبيبات,,,,,,,,,,,,,,,,,,,
cc-execution,3,execution_step,,,2,دمك الخرسانة بالهزاز الميكانيكي الغاطس فور الصب,,سرعة الهزاز [DRAFT - REVIEW REQUIRED] 8000-12000 دورة/دقيقة، مدة الدمك 5-15 ثانية,,,,,,,,,,,,,,,,,,,
cc-execution,4,execution_step,,,3,تسوية السطح العلوي للخرسانة بالفرمجة (Screeding),,استخدام قطعة خشبية مستقيمة أو فرمجة آلية,,,,,,,,,,,,,,,,,,,
