"sectionId","order","type","text_content","text_variant","step_number","step_description","step_notes","point_criteria","point_tolerance","point_method","point_critical","safety_message","safety_severity","equipment_title","code_code","code_section","code_title","code_description","checklist_title","table_caption","image_url","image_caption"
"st-equipment","1","text","تُستخدم معدات بسيطة ومحددة لإجراء الاختبار في الموقع.","paragraph","","","","","","","","","","","","","","","","","",""
"st-steps","1","execution_step","","","1","ضع المخروط على سطح مستوٍ ونظيف.","ثبّت المخروط جيداً بالقدم.","","","","","","","","","","","","","","",""
"st-inspection","1","inspection_point","","","","","هبوط الخرسانة","هبوط الخرسانة","حسب مواصفات المشروع","Slump Cone","TRUE","","","","","","","","","","",""
"st-safety","1","safety_note","","","","","","","","","ارتدِ معدات الوقاية الشخصية أثناء الفحص.","ارتدِ معدات الوقاية الشخصية أثناء الفحص.","medium","","","","","","","","",""
"st-code","1","code_reference","","","","","","","","","","","ASTM C143","","ASTM C143","","Standard Test Method for Slump of Hydraulic-Cement Concrete","مرجع شائع لاختبار الهبوط.","","","",""
"st-inspection","2","checklist","","","","","","","","","","","","","","","قائمة فحص قبل الصب","","","","",""
"st-code","1","code_reference","","","","","","","","","","","","","ASTM C143","","Standard Test Method for Slump of Hydraulic-Cement Concrete","مرجع شائع لاختبار الهبوط.","","","",""
"st-equipment","2","equipment","","","","","","","","","","","معدات اختبار الهبوط","","","","","","","","",""
"st-equipment","3","image","","","","","","","","","","","","","","","","","","https://example.com/slump-cone.jpg","مخروط الهبوط القياسي",""
"curing-overview","1","text","الغرض من المعالجة هو تقليل فقدان الرطوبة من الخرسانة في الأيام الأولى بعد الصب.","paragraph","","","","","","","","","","","","","","","","","",""
"curing-overview","2","text","إهمال المعالجة قد يؤدي إلى تشققات سطحية وضعف في مقاومة الخرسانة.","warning","","","","","","","","","","","","","","","","","",""
"curing-overview","3","execution_step","","","1","ابدأ المعالجة بعد انتهاء التشطيب الأولي للسطح.","لا تنتظر إلى أن يجف سطح الخرسانة بالكامل.","","","","","","","","","","","","","","",
"tile-tables","1","table","","","","","","","","","","","","","","","","","","جدول مقارنة أنواع البلاط","",""
"tile-tables","2","table","","","","","","","","","","","","","","","","","","جدول الأبعاد والسمك النموذجية","",""
"tile-application","1","execution_step","","","1","تجهيز السطح والتأكد من استواءه ونظافته.","يجب إزالة أي بقايا مواد أو زيوت من سطح الخرسانة.","","","","","","","","","","","","","","",""
"tile-application","2","execution_step","","","2","فرد المونة اللاصقة بواسطة المسنن.","استخدم المسنن 6 مم للسيراميك و10 مم للبورسلين.","","","","","","","","","","","","","","",""
"tile-application","3","execution_step","","","3","تركيب البلاط مع الضغط والتحريك الخفيف لتوزيع المونة.","تأكد من تغطية المونة لأكبر مساحة من ظهر البلاطة.","","","","","","","","","","","","","","",""
"tile-application","4","execution_step","","","4","ضبط الفواصل بواسطة الصلبان البلاستيكية.","استخدم فواصل 2-3 مم للسيراميك و3-5 مم للبورسلين.","","","","","","","","","","","","","","",""
"tile-application","5","execution_step","","","5","تسوية البلاط باستخدام ميزان الماء والجاكوش المطاطي.","راجع الاستواء في جميع الاتجاهات.","","","","","","","","","","","","","","",""
"tile-application","6","execution_step","","","6","ترويب الفواصل بعد جفاف المونة (24-48 ساعة).","استخدم روبة مناسبة للون البلاط ونوعه.","","","","","","","","","","","","","","",""
"tile-application","7","text","يجب مراعاة تركيب البلاط بحيث تكون القصاصات في الزوايا والأماكن غير الظاهرة قدر الإمكان.","note","","","","","","","","","","","","","","","","","",""
"tile-inspection","1","inspection_point","","","","","","التطبيل (Hollow Sound)","لا يزيد عن 5% من مساحة البلاط","الطرق بمطرقة خشبية أو قضيب معدني خفيف","TRUE","","","","","","","","","","","",""
"tile-inspection","2","inspection_point","","","","","","الاستواء (Leveling)","±2 مم على طول 2 متر","ميزان الماء أو مسطرة الألمنيوم","TRUE","","","","","","","","","","","",""
"tile-inspection","3","inspection_point","","","","","","الميول (Slopes)","1-2% في الحمامات والسطوح","ميزان الماء","TRUE","","","","","","","","","","","",""
"tile-inspection","4","inspection_point","","","","","","عرض الفواصل (Joint Width)","±0.5 مم عن العرض المطلوب","مسطرة أو شبلون","FALSE","","","","","","","","","","","",""
"tile-inspection","5","inspection_point","","","","","","المظهر العام (Appearance)","لا توجد خدوش أو كسر أو تغير في اللون","فحص بصري","TRUE","","","","","","","","","","","",""
"tile-inspection","6","inspection_point","","","","","","القص والتفصيل (Cutting)","قصصات نظيفة بدون تشقق أو تكسر","فحص بصري","FALSE","","","","","","","","","","","",""
"tile-inspection","7","inspection_point","","","","","","النهايات (Edges/Ends)","محاذاة النهايات مع الحوائط والزوايا بشكل نظيف","فحص بصري وشريط قياس","FALSE","","","","","","","","","","","",""
"tile-inspection","8","inspection_point","","","","","","الفواصل الحرارية (Expansion Joints)","تترك كل 5-6 متر في المساحات الكبيرة","قياس المسافات","TRUE","","","","","","","","","","","",""
"tile-inspection","9","checklist","","","","","","","","","","","","","","","","قائمة فحص قبل التبليط","","","",""
"tile-safety","1","safety_note","","","","","","","","","استخدم واقي العينين والقفازات عند قص البلاط.","استخدم واقي العينين والقفازات عند قص البلاط.","medium","","","","","","","","",""
"tile-safety","2","safety_note","","","","","","","","","تأكد من تهوية المكان عند استخدام مواد لاصقة أو روبة كيميائية.","تأكد من تهوية المكان عند استخدام مواد لاصقة أو روبة كيميائية.","low","","","","","","","","",""
