topicId,criteriaAr,criteriaEn,acceptanceLimitAr,acceptanceLimitEn,methodAr,methodEn,isCritical,reviewRequired,planKey,codeReference
slump-test,[DRAFT - REVIEW REQUIRED] هبوط الخرسانة,[DRAFT - REVIEW REQUIRED] Concrete slump,[DRAFT - REVIEW REQUIRED] 75-100 مم للعناصر العادية,[DRAFT - REVIEW REQUIRED] 75-100 mm for normal elements,المخروط القياسي ASTM C143,Standard slump cone ASTM C143,TRUE,FALSE,,
slump-test,[DRAFT - REVIEW REQUIRED] درجة حرارة الخرسانة,[DRAFT - REVIEW REQUIRED] Concrete temperature,[DRAFT - REVIEW REQUIRED] 10-32 °C,[DRAFT - REVIEW REQUIRED] 10-32 °C,مقياس حرارة,Thermometer,TRUE,FALSE,,
slump-test,[DRAFT - REVIEW REQUIRED] زمن إجراء الاختبار من لحظة الخلط,[DRAFT - REVIEW REQUIRED] Time from mixing to test,[DRAFT - REVIEW REQUIRED] لا يتجاوز 30 دقيقة,[DRAFT - REVIEW REQUIRED] Not exceeding 30 minutes,ساعة توقيت,Stopwatch,FALSE,FALSE,,
concrete-casting,[DRAFT - REVIEW REQUIRED] هبوط الخرسانة قبل الصب,[DRAFT - REVIEW REQUIRED] Concrete slump before pouring,[DRAFT - REVIEW REQUIRED] حسب المواصفات (عادة 75-150 مم),[DRAFT - REVIEW REQUIRED] Per specification (typically 75-150 mm),اختبار الهبوط ASTM C143,Slump test ASTM C143,TRUE,FALSE,,
concrete-casting,[DRAFT - REVIEW REQUIRED] مقاومة الخرسانة للضغط (مكعبات),[DRAFT - REVIEW REQUIRED] Concrete compressive strength (cubes),[DRAFT - REVIEW REQUIRED] لا تقل عن المقاومة التصميمية بعد 7 و 28 يوم,[DRAFT - REVIEW REQUIRED] Not less than design strength at 7 and 28 days,اختبار الضغط ASTM C39,Compression test ASTM C39,TRUE,FALSE,,
concrete-casting,[DRAFT - REVIEW REQUIRED] درجة حرارة الخرسانة عند الصب,[DRAFT - REVIEW REQUIRED] Concrete temperature at pouring,[DRAFT - REVIEW REQUIRED] 10-32 °C (ACI 305R),[DRAFT - REVIEW REQUIRED] 10-32 °C (ACI 305R),مقياس حرارة,Thermometer,TRUE,FALSE,,
rebar-inspection,[DRAFT - REVIEW REQUIRED] قطر حديد التسليح,[DRAFT - REVIEW REQUIRED] Rebar diameter,[DRAFT - REVIEW REQUIRED] ± 0.5 مم عن القطر الاسمي,[DRAFT - REVIEW REQUIRED] ± 0.5 mm from nominal diameter,القدمة (Vernier Caliper),Vernier caliper,TRUE,FALSE,,
rebar-inspection,[DRAFT - REVIEW REQUIRED] التغطية الخرسانية (Cover),[DRAFT - REVIEW REQUIRED] Concrete cover,[DRAFT - REVIEW REQUIRED] لا تقل عن القيمة التصميمية (حسب ACI 318-19 جدول 20.6.1),[DRAFT - REVIEW REQUIRED] Not less than design value (per ACI 318-19 Table 20.6.1),قياس الكفرات البلاستيكية ومسافة الحديد عن الفرم,Measure plastic spacers and bar distance from formwork,TRUE,FALSE,,
rebar-inspection,[DRAFT - REVIEW REQUIRED] المسافة بين الأسياخ الطولية,[DRAFT - REVIEW REQUIRED] Spacing between longitudinal bars,[DRAFT - REVIEW REQUIRED] ± 10 مم عن المخططات,[DRAFT - REVIEW REQUIRED] ± 10 mm from drawings,شريط قياس,Measuring tape,TRUE,FALSE,,
rebar-inspection,[DRAFT - REVIEW REQUIRED] طول الوصلة (Lap Splice),[DRAFT - REVIEW REQUIRED] Lap splice length,[DRAFT - REVIEW REQUIRED] لا يقل عن 60 قطر للسيخ في وصلات الشد Class B (ACI 318-19 25.5.2),[DRAFT - REVIEW REQUIRED] Not less than 60 bar diameters for Class B tension splices (ACI 318-19 25.5.2),شريط قياس,Measuring tape,TRUE,FALSE,,
